iter	Passed	Remaining
0	364	1820767
1	740	1851181
2	1125	1874607
3	1492	1864378
4	1851	1849849
5	2213	1842480
6	2574	1836316
7	2934	1831436
8	3287	1822843
9	3583	1788312
10	3935	1785135
11	4234	1760237
12	4525	1736109
13	4887	1740481
14	5241	1741925
15	5598	1743872
16	5956	1745916
17	6309	1746454
18	6668	1748315
19	7015	1746781
20	7365	1746282
21	7723	1747607
22	8080	1748563
23	8433	1748530
24	8785	1748306
25	9143	1749186
26	9494	1748768
27	9849	1749003
28	10216	1751187
29	10596	1755541
30	10946	1754683
31	11293	1753316
32	11593	1745039
33	11950	1745476
34	12303	1745385
35	12674	1747689
36	13041	1749259
37	13418	1752163
38	13771	1751781
39	14119	1750841
40	14502	1754106
41	14844	1752351
42	15162	1747926
43	15480	1743696
44	15796	1739346
45	16159	1740265
46	16549	1744056
47	16912	1744819
48	17284	1746479
49	17655	1747910
50	18053	1751895
51	18449	1755551
52	18774	1752393
53	19152	1754269
54	19551	1757814
55	19935	1759999
56	20318	1761989
57	20690	1762974
58	21012	1759688
59	21390	1761131
60	21707	1757635
61	22024	1754157
62	22393	1754836
63	22718	1752161
64	23096	1753521
65	23413	1750359
66	23785	1751226
67	24105	1748356
68	24377	1742082
69	24703	1739862
70	25067	1740254
71	25448	1741835
72	25841	1744137
73	26245	1747125
74	26525	1741855
75	26882	1741687
76	27289	1744734
77	27709	1748515
78	28110	1751006
79	28484	1751780
80	28802	1749131
81	29057	1742763
82	29463	1745460
83	29828	1745682
84	30230	1748019
85	30564	1746423
86	30815	1740214
87	31101	1736055
88	31369	1730945
89	31744	1731853
90	32147	1734183
91	32554	1736729
92	32816	1731528
93	33141	1729720
94	33475	1728376
95	33812	1727269
96	34200	1728708
97	34552	1728331
98	34886	1727057
99	35266	1728063
100	35532	1723480
101	35876	1722771
102	36216	1721865
103	36610	1723502
104	37008	1725280
105	37409	1727197
106	37681	1723126
107	38081	1724935
108	38446	1725174
109	38769	1723482
110	39102	1722279
111	39430	1720848
112	39806	1721549
113	40202	1723084
114	40616	1725312
115	40980	1725434
116	41329	1724893
117	41651	1723244
118	41974	1721661
119	42357	1722537
120	42686	1721213
121	43032	1720591
122	43299	1716833
123	43687	1717918
124	44059	1718330
125	44314	1714185
126	44584	1710696
127	44907	1709291
128	45244	1708403
129	45512	1704981
130	45827	1703321
131	46230	1704925
132	46572	1704255
133	46841	1700977
134	47243	1702503
135	47572	1701410
136	47848	1698431
137	48106	1694895
138	48499	1696076
139	48768	1692971
140	49141	1693461
141	49464	1692233
142	49752	1689838
143	50028	1687088
144	50355	1686028
145	50673	1684711
146	51020	1684377
147	51281	1681217
148	51618	1680546
149	52024	1682137
150	52375	1681927
151	52709	1681142
152	53091	1681940
153	53474	1682715
154	53824	1682439
155	54149	1681397
156	54477	1680476
157	54768	1678398
158	55095	1677482
159	55379	1675218
160	55638	1672277
161	55985	1671968
162	56319	1671282
163	56648	1670453
164	57045	1671594
165	57436	1672590
166	57779	1672142
167	58044	1669467
168	58304	1666672
169	58701	1667827
170	58951	1664786
171	59346	1665855
172	59745	1667005
173	60086	1666537
174	60459	1666966
175	60867	1668329
176	61213	1667993
177	61539	1667102
178	61807	1664650
179	62188	1665278
180	62503	1664114
