feature,importance
TE_row_min,2287146.0798527747
TE_row_std,1412071.8157885163
employment_status,1161000.077465781
employment_status_annual_income_mean,989706.9585070722
TE_orig_employment_status,932530.8814039722
debt_to_income_ratio,863622.926036835
employment_status_annual_income_median,841791.1779363124
default_risk,776701.9844511334
TE_row_max,596603.6813595345
employment_status_count_ratio,473602.27892941236
TE_row_mean,447523.7666734795
credit_score,352394.50401617785
debt_to_income_ratio_dec_digit_0,308943.71316122194
CE_employment_status,238694.17854566168
grade_subgrade,153621.6285830056
TE_orig_grade_subgrade,136164.31776388324
debt_to_income_ratio_dec_digit_1,76164.52289041893
debt_to_income_ratio_dec_digit_2,69555.75527844616
grade_subgrade_count_ratio,61777.82207852239
loan_amount_uniform_binned,47517.71922426288
CE_grade_subgrade,42043.54033662354
interest_rate_dec_digit_0_interest_rate_dec_digit_1,32139.669327384407
interest_rate_int_digit_1_interest_rate_dec_digit_0,25169.38195459891
interest_rate,24431.975329087505
interest_rate_int_digit_1_interest_rate_dec_digit_1,19258.34763247929
annual_income_quantile_binned,17771.95059846739
grade_subgrade_loan_amount_std,17512.496646025545
interest_rate_int_digit_0_interest_rate_int_digit_1,17486.89527452256
loan_amount_quantile_binned,17393.550949324468
loan_amount,16799.78798194686
annual_income,16719.087456263074
annual_income_uniform_binned,16145.271718569831
grade_subgrade_loan_amount_mean,15381.515228568664
interest_rate_int_digit_1_interest_rate_dec_digit_2,12708.35159002399
interest_rate_int_digit_1,12197.945328695849
interest_rate_dec_digit_0_interest_rate_dec_digit_2,7717.841835907595
annual_income_int_digit_3,7574.244225143108
annual_income_int_digit_2,7384.771172849879
loan_amount_int_digit_1,7234.461436043561
loan_purpose,7088.981186798488
interest_rate_int_digit_0_interest_rate_dec_digit_0,6839.756460877286
loan_amount_int_digit_4,6281.465998596647
annual_income_int_digit_5,6033.661643593994
annual_income_int_digit_4,5933.657154313218
loan_amount_int_digit_2,5862.699079399145
loan_amount_dec_digit_0,5842.303464907985
annual_income_int_digit_1,5825.646870131108
loan_amount_dec_digit_1,5421.707011769889
interest_rate_int_digit_0_interest_rate_dec_digit_1,5297.532631867455
loan_amount_int_digit_3,5261.2394476807285
annual_income_dec_digit_1,4946.304158152026
annual_income_dec_digit_0,4509.438646948858
interest_rate_dec_digit_0,4498.842269346702
interest_rate_dec_digit_1,4039.420317471494
interest_rate_dec_digit_1_interest_rate_dec_digit_2,3500.9197904772445
TE_orig_loan_purpose,3047.269529073345
loan_amount_int_digit_0,2829.2912682634355
