feature,importance
TE_orig_employment_status,2350338.957016089
default_risk,1277393.7134574228
employment_status_annual_income_median,1265266.9947642935
employment_status,1209936.6006306882
debt_to_income_ratio,1196780.3318335663
TE_row_min,1098835.7660451909
employment_status_annual_income_mean,916033.6882762865
TE_row_std,728962.475691643
TE_row_mean,509788.7376375777
TE_row_max,406422.83552512724
employment_status_count_ratio,230769.0734969519
credit_score,228508.21753146304
grade_subgrade,214796.35445431108
debt_to_income_ratio_dec_digit_0,210380.63655282743
CE_employment_status,166505.4175210676
TE_orig_grade_subgrade,85134.75419237946
debt_to_income_ratio_dec_digit_1,71880.60861994216
debt_to_income_ratio_dec_digit_2,58139.62853450908
CE_grade_subgrade,55611.73309358214
interest_rate_dec_digit_0_interest_rate_dec_digit_1,35185.00595196067
grade_subgrade_loan_amount_std,22765.660961664187
grade_subgrade_count_ratio,21845.224563998192
loan_amount,21662.023556765438
annual_income_round_half,17268.643715643026
interest_rate_int_digit_1_interest_rate_dec_digit_2,16723.5670683836
loan_amount_uniform_binned,15323.8310332804
interest_rate_int_digit_0_interest_rate_int_digit_1,14547.66801248691
interest_rate,14352.761505753244
loan_amount_log_binned,14052.355266998085
annual_income_uniform_binned,13677.635142312769
annual_income_log_binned,13644.169803603494
interest_rate_int_digit_1_interest_rate_dec_digit_1,13446.239926553675
loan_amount_round_half,12875.9810248219
interest_rate_int_digit_1_interest_rate_dec_digit_0,12274.890352782393
annual_income_quantile_binned,12012.617058036481
annual_income,11088.828458740361
interest_rate_int_digit_0_interest_rate_dec_digit_0,9821.377829989517
interest_rate_dec_digit_0_interest_rate_dec_digit_2,8920.114713319612
annual_income_int_digit_2,8244.827779928444
grade_subgrade_loan_amount_mean,7658.415761721914
loan_amount_quantile_binned,6866.362186895329
loan_purpose,6636.078282930929
loan_amount_int_digit_1,6101.144195446794
annual_income_int_digit_5,5608.3835324596
interest_rate_dec_digit_1_interest_rate_dec_digit_2,5430.1452820119985
interest_rate_int_digit_0_interest_rate_dec_digit_1,5378.260596086957
loan_amount_dec_digit_0,5366.850493671847
annual_income_int_digit_3,3699.007192587276
annual_income_int_digit_1,3455.8160824228776
interest_rate_int_digit_1,3157.7364401368422
loan_amount_int_digit_3,2330.027663490045
