feature,importance
TE_orig_employment_status,0.42954797
employment_status_annual_income_mean,0.22496442
employment_status,0.112732336
employment_status_annual_income_median,0.06601882
default_risk,0.021649465
debt_to_income_ratio,0.020106839
CE_employment_status,0.017027674
debt_to_income_ratio_dec_digit_0,0.015158793
employment_status_count_ratio,0.011905689
TE_orig_grade_subgrade,0.010879731
credit_score,0.009038882
grade_subgrade,0.0075937053
annual_income_quantile_binned,0.006167692
CE_grade_subgrade,0.005920272
loan_amount_quantile_binned,0.0058910893
annual_income_round_half,0.005441948
loan_amount_round_half,0.0050485786
loan_amount_uniform_binned,0.0035054632
annual_income_log_binned,0.003199818
loan_amount_log_binned,0.0031613489
grade_subgrade_loan_amount_mean,0.002749466
grade_subgrade_loan_amount_std,0.002647262
annual_income_uniform_binned,0.0019207284
debt_to_income_ratio_dec_digit_1,0.0015379275
grade_subgrade_count_ratio,0.00087389874
debt_to_income_ratio_dec_digit_2,0.00076855253
interest_rate_dec_digit_0_interest_rate_dec_digit_1,0.00067029026
interest_rate_int_digit_1_interest_rate_dec_digit_0,0.0004413915
interest_rate_int_digit_1_interest_rate_dec_digit_1,0.00043456792
interest_rate_int_digit_0_interest_rate_int_digit_1,0.00019841711
interest_rate_dec_digit_0_interest_rate_dec_digit_2,0.00019745063
interest_rate_int_digit_0_interest_rate_dec_digit_0,0.00017935062
interest_rate_int_digit_0_interest_rate_dec_digit_1,0.00017583308
interest_rate,0.0001485628
interest_rate_dec_digit_1_interest_rate_dec_digit_2,0.00014666085
interest_rate_int_digit_0,0.00014349878
loan_amount_dec_digit_0,0.00013679962
annual_income_int_digit_3,0.000127927
TE_orig_loan_purpose,0.00011981609
loan_purpose,0.00010651232
interest_rate_int_digit_1_interest_rate_dec_digit_2,0.00010614742
annual_income_dec_digit_1,0.00010388306
annual_income_int_digit_1,0.000100392186
interest_rate_dec_digit_1,8.3678126e-05
loan_amount_int_digit_1,8.067516e-05
loan_amount_int_digit_2,7.819132e-05
loan_amount,7.420087e-05
loan_amount_int_digit_3,7.389586e-05
interest_rate_dec_digit_0,7.142428e-05
annual_income_dec_digit_0,7.057576e-05
annual_income_int_digit_4,6.272873e-05
loan_amount_dec_digit_1,6.253334e-05
annual_income_int_digit_5,6.0918614e-05
loan_amount_int_digit_4,5.863565e-05
annual_income,5.321189e-05
interest_rate_int_digit_1,5.2151863e-05
annual_income_int_digit_2,3.7221005e-05
CE_loan_purpose,3.3379878e-05
annual_income_int_digit_0,2.8796301e-05
loan_amount_int_digit_0,1.4776124e-05
loan_purpose_count_ratio,7.11504e-06
annual_income_dec_digit_3,0.0
debt_to_income_ratio_dec_digit_4,0.0
debt_to_income_ratio_dec_digit_3,0.0
debt_to_income_ratio_int_digit_0,0.0
annual_income_dec_digit_2,0.0
interest_rate_int_digit_0_interest_rate_dec_digit_2,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
loan_amount_dec_digit_2,0.0
