feature,importance
TE_orig_employment_status,0.25835115
employment_status,0.17118692
employment_status_annual_income_mean,0.16685143
employment_status_annual_income_median,0.121542975
employment_status_count_ratio,0.06189847
CE_employment_status,0.053001624
debt_to_income_ratio,0.026536524
default_risk,0.023230169
TE_orig_grade_subgrade,0.022781176
debt_to_income_ratio_dec_digit_0,0.016606778
credit_score,0.011314648
annual_income_quantile_binned,0.007857462
loan_amount_quantile_binned,0.00780932
annual_income_round_half,0.0066280677
loan_amount_round_half,0.0060127843
loan_amount_uniform_binned,0.004591862
CE_grade_subgrade,0.004422636
grade_subgrade,0.004402659
annual_income_log_binned,0.00395144
loan_amount_log_binned,0.0034419484
grade_subgrade_loan_amount_std,0.0028808154
annual_income_uniform_binned,0.0027285381
grade_subgrade_loan_amount_mean,0.00239781
grade_subgrade_count_ratio,0.002021683
debt_to_income_ratio_dec_digit_1,0.0016043776
interest_rate,0.001573571
interest_rate_dec_digit_0_interest_rate_dec_digit_1,0.0009845237
interest_rate_int_digit_1_interest_rate_dec_digit_1,0.00059613195
interest_rate_int_digit_1_interest_rate_dec_digit_0,0.0005842388
debt_to_income_ratio_dec_digit_2,0.00034323608
interest_rate_int_digit_0_interest_rate_dec_digit_0,0.00025650795
interest_rate_int_digit_0_interest_rate_dec_digit_1,0.00022300673
interest_rate_int_digit_1_interest_rate_dec_digit_2,0.00018096893
loan_amount_dec_digit_0,0.00018034004
interest_rate_dec_digit_1_interest_rate_dec_digit_2,0.00017383143
interest_rate_dec_digit_0_interest_rate_dec_digit_2,0.00017208651
annual_income_int_digit_1,0.00015608866
interest_rate_int_digit_0_interest_rate_int_digit_1,0.00014285007
loan_purpose,0.00011883069
TE_orig_loan_purpose,9.5287585e-05
annual_income_dec_digit_1,8.588928e-05
annual_income_int_digit_3,7.9323494e-05
interest_rate_int_digit_0,0.0
