feature,importance
employment_status_count_ratio,0.17476225
employment_status,0.15807787
TE_orig_employment_status,0.15121175
employment_status_annual_income_median,0.124192595
employment_status_annual_income_mean,0.0600663
CE_employment_status,0.051508974
default_risk,0.04442554
debt_to_income_ratio_dec_digit_0,0.029263485
debt_to_income_ratio,0.025765121
TE_orig_grade_subgrade,0.021802554
annual_income_round_half,0.017079327
loan_amount_round_half,0.016287018
loan_amount_quantile_binned,0.01612499
annual_income_quantile_binned,0.01606302
loan_amount_uniform_binned,0.013588378
annual_income_log_binned,0.012347226
loan_amount_log_binned,0.011251235
credit_score,0.0110057015
annual_income_uniform_binned,0.007608595
CE_grade_subgrade,0.006193359
grade_subgrade,0.005010319
debt_to_income_ratio_dec_digit_1,0.0045505106
grade_subgrade_loan_amount_std,0.0025440082
interest_rate_dec_digit_0_interest_rate_dec_digit_1,0.0024722028
grade_subgrade_loan_amount_mean,0.002282087
interest_rate_int_digit_1_interest_rate_dec_digit_1,0.0014508564
interest_rate_int_digit_1_interest_rate_dec_digit_0,0.0014265666
interest_rate,0.0010370136
grade_subgrade_count_ratio,0.0006705337
interest_rate_int_digit_0_interest_rate_dec_digit_1,0.00056371413
interest_rate_int_digit_0_interest_rate_dec_digit_0,0.0005035304
interest_rate_dec_digit_0_interest_rate_dec_digit_2,0.00047052922
interest_rate_dec_digit_1_interest_rate_dec_digit_2,0.00044570616
loan_purpose,0.00042603337
interest_rate_int_digit_1_interest_rate_dec_digit_2,0.00040949957
interest_rate_int_digit_0_interest_rate_int_digit_1,0.00040757243
debt_to_income_ratio_dec_digit_2,0.00033961292
TE_orig_loan_purpose,0.000328561
loan_amount_dec_digit_1,0.00031637802
loan_amount_dec_digit_0,0.00031596335
loan_amount_int_digit_3,0.00031557897
annual_income_int_digit_1,0.00031079174
annual_income_int_digit_4,0.0002984964
loan_purpose_count_ratio,0.00029535632
annual_income_dec_digit_0,0.00029250904
loan_amount,0.00029021432
loan_amount_int_digit_4,0.00028757798
annual_income_dec_digit_1,0.0002850184
loan_amount_int_digit_1,0.0002788705
interest_rate_int_digit_1,0.00027686812
annual_income_int_digit_2,0.00027575987
annual_income,0.00027225874
CE_loan_purpose,0.00026411767
annual_income_int_digit_3,0.00025679538
annual_income_int_digit_5,0.00025460857
interest_rate_dec_digit_1,0.0002521348
interest_rate_dec_digit_0,0.0002487458
loan_amount_int_digit_2,0.00024709883
loan_amount_int_digit_0,0.000216138
annual_income_int_digit_0,0.00013016751
interest_rate_int_digit_0,3.0667004e-05
interest_rate_int_digit_0_interest_rate_dec_digit_2,2.3733666e-05
debt_to_income_ratio_dec_digit_4,0.0
debt_to_income_ratio_dec_digit_3,0.0
debt_to_income_ratio_int_digit_0,0.0
annual_income_dec_digit_2,0.0
annual_income_dec_digit_3,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
loan_amount_dec_digit_2,0.0
