feature,importance
TE_orig_employment_status,0.51310027
employment_status_annual_income_mean,0.31699577
employment_status,0.02579244
TE_row_min,0.015437484
debt_to_income_ratio_dec_digit_0,0.014426112
default_risk,0.014421684
employment_status_annual_income_median,0.008791802
TE_row_std,0.0074945926
debt_to_income_ratio,0.0061812224
CE_employment_status,0.005882369
credit_score,0.0041198386
TE_orig_grade_subgrade,0.004061541
employment_status_count_ratio,0.0031088444
TE_row_mean,0.002778664
debt_to_income_ratio_dec_digit_1,0.002514476
debt_to_income_ratio_dec_digit_2,0.0023127522
TE_row_max,0.00217161
grade_subgrade,0.0021620248
CE_grade_subgrade,0.0017973098
grade_subgrade_count_ratio,0.0013916526
interest_rate_dec_digit_0_interest_rate_dec_digit_1,0.0012418035
loan_amount_uniform_binned,0.0011535523
loan_amount_log_binned,0.0010982417
interest_rate_int_digit_0_interest_rate_int_digit_1,0.001083922
loan_amount_round_half,0.0010675009
interest_rate,0.0010409526
interest_rate_int_digit_1_interest_rate_dec_digit_2,0.0010197905
loan_amount_quantile_binned,0.001017738
annual_income_round_half,0.0010134149
interest_rate_int_digit_1_interest_rate_dec_digit_1,0.0010084824
loan_amount,0.0009961725
annual_income,0.0009934715
annual_income_log_binned,0.0009912062
annual_income_uniform_binned,0.0009832957
annual_income_quantile_binned,0.0009791143
grade_subgrade_loan_amount_mean,0.0009780625
annual_income_int_digit_1,0.0009732008
loan_purpose,0.00097149843
interest_rate_dec_digit_0,0.00095773843
interest_rate_dec_digit_0_interest_rate_dec_digit_2,0.0009551848
TE_orig_loan_purpose,0.00095468835
annual_income_int_digit_2,0.00095377787
grade_subgrade_loan_amount_std,0.0009516239
interest_rate_int_digit_1_interest_rate_dec_digit_0,0.00095042976
interest_rate_int_digit_0_interest_rate_dec_digit_0,0.00094199425
annual_income_int_digit_3,0.0009417976
interest_rate_int_digit_0,0.0009396152
interest_rate_dec_digit_1_interest_rate_dec_digit_2,0.00093655597
loan_amount_int_digit_1,0.0009355643
interest_rate_int_digit_0_interest_rate_dec_digit_1,0.00093328126
annual_income_int_digit_4,0.000926005
interest_rate_int_digit_1,0.0009253364
annual_income_int_digit_0,0.00092471886
interest_rate_int_digit_0_interest_rate_dec_digit_2,0.0009203126
annual_income_int_digit_5,0.000919297
loan_amount_int_digit_3,0.000907481
loan_amount_int_digit_2,0.0009066655
interest_rate_dec_digit_1,0.00090258644
loan_purpose_count_ratio,0.00090254226
annual_income_dec_digit_1,0.0008997015
annual_income_dec_digit_0,0.00089799456
loan_amount_int_digit_4,0.0008978148
CE_loan_purpose,0.0008958381
loan_amount_dec_digit_0,0.0008941645
loan_amount_dec_digit_1,0.0008938458
loan_amount_int_digit_0,0.000893702
annual_income_dec_digit_2,0.00048061943
loan_amount_dec_digit_2,0.000105291816
debt_to_income_ratio_int_digit_0,0.0
annual_income_dec_digit_3,0.0
debt_to_income_ratio_dec_digit_4,0.0
debt_to_income_ratio_dec_digit_3,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
