feature,importance
PseudoTE_debt_to_income_ratio_by_employment_status,0.42323953
TE_orig_employment_status,0.25382835
employment_status-grade_subgrade,0.0844308
TE_row_mean,0.059805684
default_risk,0.023993654
debt_to_income_ratio_dec_digit_0,0.020640466
employment_status,0.011829934
TE_row_std,0.00951778
debt_to_income_ratio,0.008996418
TE_row_min,0.008848639
CE_employment_status,0.007605698
credit_score,0.0041531716
employment_status-loan_purpose,0.0039201914
PseudoTE_interest_rate_by_grade_subgrade,0.0036026489
debt_to_income_ratio_dec_digit_2,0.003480761
debt_to_income_ratio_dec_digit_1,0.0033277632
TE_orig_grade_subgrade,0.0032602742
PseudoTE_interest_rate_by_employment_status,0.0031637568
TE_row_max,0.0025263575
employment_status-annual_income_round_half,0.0019460287
loan_purpose-grade_subgrade,0.0017797572
grade_subgrade,0.0017118091
CE_grade_subgrade,0.0016935819
loan_amount_uniform_binned,0.0014263073
interest_rate_dec_digit_0,0.001426019
TE_orig_annual_income_round_half,0.0014160002
interest_rate_dec_digit_1,0.001362971
loan_amount_log_binned,0.0013240305
loan_amount_round_half,0.001220745
TE_orig_loan_amount_round_half,0.0011676857
loan_amount_quantile_binned,0.0011645296
annual_income_round_half,0.0011583057
annual_income_int_digit_1,0.0011517808
loan_amount,0.0011507353
PseudoTE_debt_to_income_ratio_by_grade_subgrade,0.0011478675
annual_income,0.0011468754
annual_income_uniform_binned,0.0011435833
annual_income_log_binned,0.0011374496
interest_rate,0.0011290981
PseudoTE_debt_to_income_ratio_by_annual_income_round_half,0.0011203228
PseudoTE_debt_to_income_ratio_by_loan_purpose,0.0011149981
PseudoTE_debt_to_income_ratio_by_loan_amount_round_half,0.0011131378
grade_subgrade-loan_amount_round_half,0.0011108018
employment_status-loan_amount_round_half,0.0011105333
grade_subgrade-annual_income_round_half,0.0011099423
PseudoTE_interest_rate_by_annual_income_round_half,0.0011093079
annual_income_int_digit_2,0.0011033844
annual_income_quantile_binned,0.001103291
PseudoTE_interest_rate_by_loan_amount_round_half,0.0011018061
loan_purpose-loan_amount_round_half,0.0010959711
loan_purpose-annual_income_round_half,0.0010942266
loan_amount_int_digit_1,0.0010844296
annual_income_int_digit_3,0.0010822203
annual_income_int_digit_4,0.0010761047
interest_rate_int_digit_1,0.0010694831
loan_purpose,0.0010634067
annual_income_int_digit_5,0.0010465678
PseudoTE_interest_rate_by_loan_purpose,0.0010425681
loan_amount_int_digit_3,0.0010372642
TE_orig_loan_purpose,0.0010365995
CE_loan_purpose,0.0010347946
loan_amount_int_digit_2,0.0010347358
annual_income_dec_digit_0,0.0010295109
loan_amount_int_digit_4,0.0010286672
annual_income_int_digit_0,0.0010261245
loan_amount_dec_digit_0,0.0010234752
loan_amount_dec_digit_1,0.0010170129
annual_income_dec_digit_1,0.0010161428
loan_amount_int_digit_0,0.001013052
interest_rate_int_digit_0,0.0009730837
