feature,importance
TE_orig_employment_status,0.37326095
PseudoTE_debt_to_income_ratio_by_employment_status,0.2877892
TE_row_min,0.13309413
employment_status-grade_subgrade,0.065595575
TE_row_mean,0.036825236
default_risk,0.024337545
employment_status,0.0140432045
CE_employment_status,0.013033156
TE_row_max,0.008058155
debt_to_income_ratio,0.006695534
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_0,0.0055473894
credit_score,0.004970899
employment_status-loan_purpose,0.0042066975
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_int_digit_1,0.0029381542
TE_orig_grade_subgrade,0.002855071
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_0,0.002807352
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0025101579
debt_to_income_ratio_int_digit_0-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0024854064
PseudoTE_interest_rate_by_grade_subgrade,0.0023795392
TE_row_std,0.0023148593
debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1-interest_rate_dec_digit_1,0.0022389216
annual_income_dec_digit_1-debt_to_income_ratio_dec_digit_0-debt_to_income_ratio_dec_digit_1,0.0020129299
