feature,importance
PseudoTE_debt_to_income_ratio_by_employment_status,1928556.114804123
TE_row_min,1872884.9572878573
TE_orig_employment_status,1675608.1234086624
debt_to_income_ratio,1345248.7366501214
employment_status,1241705.419246974
default_risk,1094277.392919246
TE_row_std,807086.1348986707
TE_row_mean,728593.839834715
PseudoTE_interest_rate_by_employment_status,537000.7910768269
credit_score,420036.942639222
PseudoTE_loan_amount_by_employment_status,417952.7970137615
debt_to_income_ratio_dec_digit_0,411368.59507944825
TE_row_max,389472.1429476328
PseudoTE_annual_income_by_employment_status,278345.2097501529
TE_orig_grade_subgrade,167740.14448174665
grade_subgrade,145548.99395481765
debt_to_income_ratio_dec_digit_2,83732.22111426518
CE_employment_status,80698.82426078804
PseudoTE_interest_rate_by_grade_subgrade,79943.46975649326
debt_to_income_ratio_dec_digit_1,79684.12619566501
PseudoTE_debt_to_income_ratio_by_grade_subgrade,47670.95921199719
CE_grade_subgrade,45189.60649480532
interest_rate_dec_digit_0_interest_rate_dec_digit_1,37384.21411722823
loan_amount_uniform_binned,22880.777846347424
interest_rate,22079.8936594257
loan_amount_log_binned,18989.287177748243
loan_amount_round_half,18212.804147688552
interest_rate_int_digit_1_interest_rate_dec_digit_2,18020.672203490387
PseudoTE_annual_income_by_grade_subgrade,16864.776321550882
PseudoTE_annual_income_by_annual_income_round_half,15745.17315742519
PseudoTE_loan_amount_by_loan_amount_round_half,15468.758221671102
annual_income_log_binned,15428.464523382334
interest_rate_int_digit_1_interest_rate_dec_digit_1,15242.664285364812
loan_amount_quantile_binned,14915.885658158082
annual_income_round_half,14485.976962552279
interest_rate_int_digit_0_interest_rate_int_digit_1,13880.319288468992
annual_income,13796.401337868
loan_amount,13475.296336498523
PseudoTE_debt_to_income_ratio_by_annual_income_round_half,13132.778339645589
annual_income_uniform_binned,12988.787807284978
annual_income_quantile_binned,12645.357206703542
PseudoTE_debt_to_income_ratio_by_loan_amount_round_half,12055.809659796323
interest_rate_int_digit_1_interest_rate_dec_digit_0,11994.147648831504
PseudoTE_loan_amount_by_annual_income_round_half,10418.85706985613
PseudoTE_interest_rate_by_annual_income_round_half,10411.313041863095
PseudoTE_annual_income_by_loan_amount_round_half,10034.548136231688
PseudoTE_interest_rate_by_loan_amount_round_half,9547.710528570826
TE_orig_annual_income_round_half,8890.915195685873
interest_rate_dec_digit_0_interest_rate_dec_digit_2,8568.732114151167
interest_rate_int_digit_0_interest_rate_dec_digit_1,7826.190250664638
interest_rate_int_digit_0_interest_rate_dec_digit_0,7067.234995183433
annual_income_int_digit_2,6817.158577138633
PseudoTE_loan_amount_by_grade_subgrade,6773.5420433330055
TE_orig_loan_amount_round_half,6326.207674113819
interest_rate_int_digit_1,6174.563465899509
annual_income_int_digit_3,6138.395068231386
interest_rate_dec_digit_0,5303.183886773464
annual_income_int_digit_4,5242.390862793066
interest_rate_dec_digit_1_interest_rate_dec_digit_2,5240.812834792967
loan_amount_int_digit_1,5179.788007938018
loan_purpose,5042.996174815349
annual_income_int_digit_5,4552.170706444147
loan_amount_dec_digit_0,4382.4385856145245
PseudoTE_debt_to_income_ratio_by_loan_purpose,4335.386549443077
loan_amount_int_digit_3,3973.9442139040416
annual_income_int_digit_1,3840.8499777683455
loan_amount_int_digit_4,3826.004393855362
interest_rate_int_digit_0_interest_rate_dec_digit_2,3632.8051051549614
loan_amount_dec_digit_1,3555.9921801799064
loan_amount_int_digit_2,3522.168365280731
annual_income_dec_digit_0,3184.125995154086
annual_income_dec_digit_1,3143.533351612503
interest_rate_dec_digit_1,2586.633174296411
TE_orig_loan_purpose,2302.185580622433
PseudoTE_loan_amount_by_loan_purpose,1479.5337287000032
PseudoTE_interest_rate_by_loan_purpose,1164.2482229365582
CE_loan_purpose,1123.6467856548302
PseudoTE_annual_income_by_loan_purpose,1060.7440176955881
loan_amount_int_digit_0,715.9030481488596
interest_rate_int_digit_0,493.1116422623396
annual_income_int_digit_0,119.39482492059469
debt_to_income_ratio_dec_digit_4,0.0
debt_to_income_ratio_int_digit_0,0.0
debt_to_income_ratio_dec_digit_3,0.0
annual_income_dec_digit_2,0.0
annual_income_dec_digit_3,0.0
interest_rate_dec_digit_2,0.0
loan_amount_dec_digit_2,0.0
loan_amount_dec_digit_3,0.0
