experiment_id,experiment_name,model,cv_score,num_features,timestamp
20260321_195122_lgbm_modular_full_features,lgbm_modular_full_features,LightGBM,0.924170449743839,66,20260321_195122
20260323_135552_lgbm_modular_full_features,lgbm_modular_with_prunned_features,LightGBM,0.9243539667969223,53,20260323_135552
20260323_144916_lgbm_modular_full_features,lgbm_log_binned_full_features,LightGBM,0.9242572401592728,74,20260323_144916
20260323_185205_catboost_log_binned_all_features,catboost_log_binned_all_features,CatBoost,0.9248640074862924,70,20260323_185205
20260323_204739_catboost_log_binned_with_pruned_features,catboost_log_binned_with_pruned_features,CatBoost,0.9248750894698959,54,20260323_204739
20260324_151610_xgboost_full_features,xgboost_full_features - hyperparameters to fix,XGBoost,0.9125954521242651,70,20260324_151610
20260324_152844_xgboost_with_pruned_features,xgboost_with_pruned_features - hyperparameters to fix,XGBoost,0.9124705399628265,43,20260324_152844
20260324_155216_xgboost_all_features,xgboost_all_features,XGBoost,0.9143308254926238,70,20260324_155216
20260324_161928_xgboost_all_features,xgboost_all_features,XGBoost,0.9243894675787021,70,20260324_161928
20260324_170242_xgboost_10000_estimators_all_features,xgboost_10000_estimators_all_features,XGBoost,0.9242716522615688,70,20260324_170242
20260324_180251_xgboost_pseudoTE_all_features,xgboost_pseudoTE_all_features,XGBoost,0.9246827421690504,74,20260324_180251
20260324_191146_xgboost_pseudoTE_all_features,xgboost_pseudoTE_pruned_features,XGBoost,0.9247155457635884,66,20260324_191146
20260324_215505_xgboost_pseudoTE_all_features,xgboost_pseudoTE_ton_of_features,XGBoost,0.9226738382995898,634,20260324_215505
20260324_222228_xgboost_pseudoTE_all_features,xgboost_pseudoTE_top50_features,XGBoost,0.9244197735467439,46,20260324_222228
20260324_223542_xgboost_pseudoTE_top20_features,xgboost_pseudoTE_top20_features,XGBoost,0.9202865611449944,18,20260324_223542
20260324_230613_xgboost_pseudoTE_top200_features,xgboost_pseudoTE_top200_features,XGBoost,0.9237322874472595,196,20260324_230613
20260325_165118_lgbm_pseudoTE_all_features,lgbm_pseudoTE_all_features,LightGBM,0.9253110244212936,85,20260325_165118
20260325_183436_lgbm_pseudoTE_all_features,lgbm_pseudoTE_all_features,LightGBM,0.9253110244212936,85,20260325_183436
20260325_211651_catboost_pseudoTE_all_features,catboost_pseudoTE_all_features,CatBoost,0.926748407997999,75,20260325_211651
20260326_010128_xgboost_pseudoTE_all_features,xgboost_pseudoTE_all_features,XGBoost,0.9246023446989987,75,20260326_010128
20260328_001426_catboost_exodia,catboost_exodia,CatBoost,0.9267475568468595,90,20260328_001426
